Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Kotahena,Assult,6.948,79.8658,1900,2017,5,19
Kurunduwaththa,House Braking,6.8972,79.8693,800,2017,5,19
Modara,Theft,6.968,79.8747,2110,2017,5,19
Armour_Street,Theft,6.9414,79.8609,1615,2017,5,20
Kurunduwaththa,Robbery,6.9158,79.8684,1215,2017,5,20
Bambalapitiya,Robbery,6.8964,79.8591,1645,2017,5,21
Kirullapone,Assult,6.8753,79.8782,1600,2017,5,21
Armour_Street,Robbery,6.9375,79.8604,1550,2017,5,22
Kirullapone,House Braking,6.8703,79.8812,815,2017,5,22
Kotahena,Theft,6.9521,79.8642,1945,2017,5,23
Maradana,House Braking,6.9319,79.8674,900,2017,5,23
Grand Pass,Theft,6.9571,79.8771,1510,2017,5,24
Kotahena,Theft,6.9518,79.8604,1715,2017,5,24
Modara,Robbery,6.9744,79.8824,1545,2017,5,24
Pettha,Murder,6.9386,79.8547,2145,2017,5,24
Bambalapitiya,Robbery,6.8864,79.8559,930,2017,5,25
Dematagoda,Assult,6.9268,79.8769,2000,2017,5,25
Grand Pass,House Braking,6.962,79.8703,1530,2017,5,25
Kollupitiya,House Braking,6.9033,79.857,1215,2017,5,25
Grand Pass,Robbery,6.943,79.8698,1815,2017,5,26
Dematagoda,Theft,6.9312,79.8768,1825,2017,5,27
Grand Pass,Assult,6.9599,79.8715,1945,2017,5,28
Maligawatta,House Braking,6.9335,79.8729,830,2017,5,30
Slave Island,House Braking,6.9202,79.8525,1115,2017,5,30
Grand Pass,Murder,6.9442,79.8706,2000,2017,5,31
Kirullapone,Robbery,6.8743,79.8833,1915,2017,5,31
Maradana,House Braking,6.9232,79.8724,30,2017,5,31
Maradana,Robbery,6.9313,79.8605,1745,2017,5,31
Bambalapitiya,Rape,6.89,79.8547,1945,2017,6,1
Grand Pass,Murder,6.9478,79.8768,2130,2017,6,1
Slave Island,House Braking,6.9221,79.8506,1500,2017,6,1
Wellawatta,Robbery,6.8765,79.8707,1200,2017,6,3
Bambalapitiya,Theft,6.8851,79.8598,1745,2017,6,5
Dematagoda,Murder,6.932,79.8755,1145,2017,6,5
Grand Pass,Rape,6.9566,79.8713,2230,2017,6,5
Pettha,Theft,6.9381,79.851,1650,2017,6,5
Borella,Drugs,6.9162,79.8756,1350,2017,6,6
Maradana,Assult,6.926,79.8681,2210,2017,6,6
Pettha,Theft,6.9355,79.8513,1810,2017,6,6
